,d1,d2,sim
1,"Abnormalities, Multiple",Athetosis,0.044907419
2,"Abnormalities, Multiple",Attention Deficit Disorder with Hyperactivity,0.448942915
3,"Abnormalities, Multiple",Autistic Disorder,0.641909991
4,"Abnormalities, Multiple",Bipolar Disorder,0.640784089
5,"Abnormalities, Multiple",Brain Diseases,0.230226468
6,"Abnormalities, Multiple",Cerebral Arterial Diseases,0.201043178
7,"Abnormalities, Multiple",Cerebral Palsy,0.262063206
8,"Abnormalities, Multiple",Cerebrovascular Disorders,0.126364265
9,"Abnormalities, Multiple",Chorea,0.021578861
10,"Abnormalities, Multiple",Chromosome Aberrations,0.360803462
11,"Abnormalities, Multiple",Cleft Palate,0.641909991
12,"Abortion, Spontaneous",Alcoholism,0.443717172
13,"Abortion, Spontaneous",Arnold-Chiari Malformation,0.705380022
14,"Abortion, Spontaneous",Arteriosclerosis,0.893991741
15,"Abortion, Spontaneous",Biliary Tract Neoplasms,1
16,"Abortion, Spontaneous",Bipolar Disorder,0.347912912
17,"Abortion, Spontaneous","Cell Transformation, Neoplastic",1
18,"Abortion, Spontaneous",Coronary Artery Disease,0.173498943
19,"Abortion, Spontaneous",Coronary Disease,0.195954414
20,"Acidosis, Renal Tubular",Autoimmune Diseases,0.574527024
21,Acne Vulgaris,Alopecia,1
22,Acquired Immunodeficiency Syndrome,Agranulocytosis,0.75514883
23,Acquired Immunodeficiency Syndrome,AIDS-Related Opportunistic Infections,0.799629067
24,Acquired Immunodeficiency Syndrome,Bacterial Infections,0.661656459
25,Acquired Immunodeficiency Syndrome,Carcinoid Tumor,0.372935908
26,Acquired Immunodeficiency Syndrome,Cognition Disorders,0.101574942
27,Acute Kidney Injury,Adenocarcinoma,0.344849363
28,Acute Kidney Injury,Alcoholism,0.440394047
29,Acute Kidney Injury,"Anemia, Hypochromic",0.49632798
30,Acute Kidney Injury,Anuria,0.703632034
31,Acute Kidney Injury,Arteriosclerosis,0.213591113
32,Acute Kidney Injury,Babesiosis,0.49632798
33,Acute Kidney Injury,Breast Neoplasms,0.339972295
34,Acute Kidney Injury,Burns,0.235148515
35,Acute Kidney Injury,Carbon Tetrachloride Poisoning,0.49632798
36,Acute Kidney Injury,"Carcinoma 256, Walker",0.344849363
37,Acute Kidney Injury,"Carcinoma, Squamous Cell",0.344849363
38,Acute Kidney Injury,Cholangitis,0.49632798
39,Acute Kidney Injury,Choriocarcinoma,0.49632798
40,Acute Kidney Injury,Colorectal Neoplasms,0.49632798
41,Acute Kidney Injury,"Constriction, Pathologic",0.49632798
42,Adenocarcinoma,Alcoholism,0.629046979
43,Adenocarcinoma,"Anemia, Hypochromic",0.705380022
44,Adenocarcinoma,Arteriosclerosis,0.309875359
45,Adenocarcinoma,Babesiosis,0.705380022
46,Adenocarcinoma,Breast Neoplasms,0.493227623
47,Adenocarcinoma,Burns,0.344849363
48,Adenocarcinoma,Carbon Tetrachloride Poisoning,0.705380022
49,Adenocarcinoma,"Carcinoma 256, Walker",0.495098039
50,Adenocarcinoma,"Carcinoma, Squamous Cell",0.495098039
51,Adenocarcinoma,Choriocarcinoma,0.705380022
52,Adenocarcinoma,Colonic Neoplasms,0.705380022
53,Adenocarcinoma,Colorectal Neoplasms,0.705380022
54,Adenocarcinoma,"Constriction, Pathologic",0.705380022
55,Adjustment Disorders,Alopecia Areata,0.705380022
56,Adjustment Disorders,Anorexia Nervosa,0.495098039
57,Adjustment Disorders,Apnea,0.121243802
58,Adjustment Disorders,Brain Concussion,0.495098039
59,Adjustment Disorders,Breast Neoplasms,0.239215397
60,Adjustment Disorders,"Carcinoma, Small Cell",0.401228032
61,Adjustment Disorders,Coronary Artery Disease,0.116045123
62,Adjustment Disorders,Coronary Disease,0.132184628
63,Adnexal Diseases,"Aneurysm, Dissecting",0.705380022
64,Adnexal Diseases,Aortic Aneurysm,0.705380022
65,Agranulocytosis,AIDS-Related Opportunistic Infections,0.705380022
66,Agranulocytosis,Bacterial Infections,0.706263211
67,Agraphia,Apraxias,0.667973614
68,Agraphia,Autistic Disorder,0.495098039
69,Agraphia,Bipolar Disorder,0.239215397
70,Agraphia,Cerebral Hemorrhage,1
71,Agraphia,Cerebrovascular Disorders,0.25777516
72,Agraphia,Child Behavior Disorders,0.705380022
73,AIDS-Related Opportunistic Infections,Bacterial Infections,0.747239849
74,AIDS-Related Opportunistic Infections,Carcinoid Tumor,0.705380022
75,AIDS-Related Opportunistic Infections,Cognition Disorders,0.221041287
76,Airway Obstruction,Angina Pectoris,0.027579849
77,Airway Obstruction,Asbestosis,0.705380022
78,Airway Obstruction,Asthma,0.864609172
79,Airway Obstruction,"Carcinoma, Non-Small-Cell Lung",0.705380022
80,Airway Obstruction,"Carcinoma, Squamous Cell",0.495098039
